500 0.385261
500 1 0.385122
500 2 0.329229
500 4 0.368976
500 6 0.399186
500 12 0.520269
500 18 0.601391
500 24 0.670901
500 32 0.802158
1000 1 0.751033
1000 2 0.703733
1000 4 0.741535
1000 6 0.762671
1000 12 0.898914
1000 18 1.01434
1000 24 1.06261
1000 32 1.19113
2000 1 1.5676
2000 2 1.34756
2000 4 1.49678
2000 6 1.58481
2000 12 1.77019
2000 18 1.85546
2000 24 1.92517
2000 32 2.06783
5000 1 3.98648
5000 2 3.68379
5000 4 4.01655
5000 6 4.16026
5000 12 4.42592
5000 18 4.56413
5000 24 4.58625
5000 32 4.73486
10000 1 8.06872
10000 2 7.93162
10000 4 8.19321
10000 6 8.35504
10000 12 8.85021
10000 18 8.94308
10000 24 9.03775
10000 32 9.30131
20000 1 16.6509
20000 2 15.8978
20000 4 16.3673
20000 6 17.1815
20000 12 17.6326
20000 18 17.7664
20000 24 18.065
20000 32 18.2159
50000 1 45.5464
50000 2 40.4712
50000 4 42.0381
50000 6 43.6749
50000 12 45.8919
50000 18 45.6
50000 24 44.7439
50000 32 45.8749
100000 1 97.363
100000 2 84.7423
100000 4 85.6287
100000 6 88.8141
100000 12 92.2369
100000 18 91.3449
100000 24 91.8173
100000 32 91.4768
12000 24 10.782
16000 32 14.4596
